Bulk ID,Miller Index,Trajectory ID,Bulk Symbols,energy_type,melting_point,Ehull (meV/atom),is_stable,E_surf.(J/m2),Predicted_E_adh(J/m2),Predicted_Contact_Angle (°)
mp-2858,ZrO2_mp-2858_(010),904239835_ZrO2_mp-2858_clean_0MPUaO0ejk,ZrO2,GGA,2899,0,Stable,2.673923424,-1.837102184,81.56
mp-759541,"(0, 0, 1)",Ba-PdO2-2_mp-759541_clean_hj9sJRy0KJ,Ba4Pd8O16,GGA,1650,0,Stable,2.970981701,-1.794952395,83.08949748
mp-1017,"(1, 1, 0)",Zr3O_mp-1017_clean_tQsZVzjlQV,Zr6O2,GGA,2222,4.173433,Meta-stable,2.880216115,-1.793581374,83.13888297
mp-761931,"(1, 1, 0)",Na8SnO6_mp-761931_clean_Y9oprSLT4X,Na16Sn2O12,GGA,1298,4.79086,Meta-stable,2.953558637,-1.789823694,83.27421206
mp-10688,CeO_mp-10688_(211),,CeO,GGA,2365,0,Stable,1.858552428,-1.785252244,83.4304
mp-555235,SiO2_mp-555235_(010),SiO2_mp-555235_clean_D1l86pnMO7,SiO2,GGA,1941,3.357545,Meta-stable,2.148728317,-1.777772192,83.6999
mp-22479,"(1, 0, 0)",Zr4Pd2O_mp-22479_clean_sbTHA8mmlZ,Zr64Pd32O16,GGA,1351,0,Stable,2.71190388,-1.758936433,84.38522927
mp-22479,"(1, 0, 0)",Zr4Pd2O_mp-22479_clean_S4imIRzt1h,Zr64Pd32O16,GGA,1351,0,Stable,2.709459448,-1.758936433,84.38522927
mp-22479,"(1, 0, 0)",Zr4Pd2O_mp-22479_clean_hNJ0DbBYSj,Zr64Pd32O16,GGA,1351,0,Stable,2.71261387,-1.758936433,84.38522927
mp-29488,"(2, 1, 2)",Na2ZnO2_mp-29488_clean_pfKncXr99e,Na8Zn4O8,GGA,1226,0,Stable,2.768265322,-1.758073082,84.4162517
mp-22479,"(1, 0, 0)",Zr4Pd2O_mp-22479_clean_fHpy1izokt,Zr64Pd32O16,GGA,1351,0,Stable,2.781724262,-1.756364209,84.47765107
mp-28365,"(1, 1, 0)",Na3AuO2_mp-28365_clean_TSrmGZ1cRA,Na12Au4O8,GGA,1088,0,Stable,2.510126937,-1.755898347,84.49438826
mp-29048,"(2, 2, 1)",Sr-BiO2-2_mp-29048_clean_siDR4D0Dz0,Sr4Bi8O16,GGA,1203,0,Stable,2.724667548,-1.745626724,84.86330367
mp-10543,"(1, 1, -2)",K3SbO4_mp-10543_clean_IUgDxe5Si4,K6Sb2O8,GGA,1543,0,Stable,2.899924523,-1.745205815,84.87841636
mp-10688,CeO_mp-10688_(331),,CeO,GGA,2365,0,Stable,1.780616633,-1.740801991,85.0291
mp-9808,"(1, 0, 0)",Rb3NbO8_mp-9808_clean_NmHd5yAL5Q,Rb6Nb2O16,GGA,1559,0,Stable,2.30220647,-1.738851682,85.10651815
mp-996990,"(1, 1, 2)",69019397_BaAgO2_mp-996990_clean_3CD5KRH24t,Ba1Ag1O2,GGA,1233,0,Stable,2.879970857,-1.735464839,85.22806765
mp-752692,"(1, 1, 0)",K2SnO2_mp-752692_clean_N3iDeJnR7F,K8Sn4O8,GGA,1092,0,Stable,2.613402,-1.733693651,85.29162475
mp-7118,"(2, -1, 0)",Rb4SnO4_mp-7118_clean_FzNrNvOvOy,Rb8Sn2O8,GGA,1274,0,Stable,2.671712575,-1.73175329,85.36124574
mp-755776,"(2, -2, 1)",Rb4SiO4_mp-755776_clean_B1le2pZ2eq,Rb8Si2O8,GGA,1294,0.520318,Meta-stable,2.334509054,-1.725125794,85.5989921
mp-13660,"(2, 1, 0)",2411243514_Ca4Sb2O_mp-13660_clean_pz63OWHFj5,Ca8Sb4O2,GGA,1597,0,Stable,2.299462924,-1.722104385,85.70735284
mp-5461,"(1, 0, 0)",Rb3TaO8_mp-5461_clean_qm3vPwZ091,Rb6Ta2O16,GGA,1638,0.914009,Meta-stable,2.319629015,-1.722063729,85.70881082
mp-768813,"(0, 1, 0)",Rb4SiO4_mp-768813_clean_Kd2eKGqbNI,Rb16Si4O16,GGA,1294,0,Stable,2.778642927,-1.718027471,85.8535442
mp-2472,"(3, 1, 0)",SrO_mp-2472_clean_GSNfZVtv7C,Sr4O4,GGA,2860,0,Stable,2.382902009,-1.716062681,85.92398861
mp-2472,"(3, 1, 0)",SrO_mp-2472_clean_t1Zb9f0JAf,Sr4O4,GGA,2860,0,Stable,2.382902009,-1.716062681,85.92398861
mp-12171,"(1, 0, 0)",K6MgO4_mp-12171_clean_9tUcVGnNJv,K12Mg2O8,GGA,1208,0,Stable,2.526548155,-1.714981741,85.96274134
mp-458,Ti2O3_mp-458_(001),Ti2O3_mp-458_clean_FDMfb9sx8h,Ti2O3,GGA,2099,0,Stable,1.802144818,-1.714194744,85.9831
mp-1017,"(2, 2, 3)",Zr3O_mp-1017_clean_GWoVhFsfj8,Zr6O2,GGA,2222,4.173433,Meta-stable,2.621346416,-1.713639302,86.01086649
mp-561418,"(1, 0, -2)",Zr3O_mp-561418_clean_lZg3Cbv9Vf,Zr36O12,GGA,2222,0,Stable,2.871324191,-1.712521894,86.05092235
mp-14175,"(1, 0, 0)",K3NbO8_mp-14175_clean_zWJBo9KhJM,K6Nb2O16,GGA,1449,0,Stable,2.46541624,-1.709547724,86.15752842
mp-558751,"(0, 1, 0)",Ca-BiO2-2_mp-558751_clean_zQl3aAHy5S,Ca16Bi32O64,GGA,1196,0,Stable,2.820011797,-1.706103642,86.28096135
mp-558751,"(0, 1, 0)",Ca-BiO2-2_mp-558751_clean_QEzG6fKUPH,Ca16Bi32O64,GGA,1196,0,Stable,2.819719709,-1.706027767,86.28368046
mp-551905,"(0, 1, 2)",OsO4_mp-551905_clean_qiJZ5bfsh7,Os2O8,GGA,1433,0,Stable,2.691477567,-1.703516571,86.37366836
mp-768232,"(1, 0, 0)",Rb3SbO3_mp-768232_clean_ZJ3HqOgb60,Rb12Sb4O12,GGA,1309,0,Stable,2.725470526,-1.703316157,86.38084975
mp-768232,"(1, 0, 0)",Rb3SbO3_mp-768232_clean_QbX3rF5Z3e,Rb12Sb4O12,GGA,1309,0,Stable,2.725470526,-1.703316157,86.38084975
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_qzpz2uwuMb,Y12Sb20O48,GGA,2097,0,Stable,2.986981275,-1.703224306,86.38414099
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_ehiEkxnrzA,Y12Sb20O48,GGA,2097,0,Stable,2.986981275,-1.703224306,86.38414099
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_WAYglVW1XA,Y12Sb20O48,GGA,2097,0,Stable,2.986981275,-1.703224306,86.38414099
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_iuBJASBXSs,Y12Sb20O48,GGA,2097,0,Stable,2.986981275,-1.703224306,86.38414099
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_0UfllpqHic,Y12Sb20O48,GGA,2097,0,Stable,2.986981275,-1.703224306,86.38414099
mp-1218382,"(2, 1, 0)",Sr4Bi2O_mp-1218382_clean_46gKWdGzux,Sr8Bi4O2,GGA,1166,0,Stable,1.564966296,-1.701381406,86.45017425
mp-1218382,"(2, 1, 0)",Sr4Bi2O_mp-1218382_clean_EAf0sqgMnn,Sr8Bi4O2,GGA,1166,0,Stable,1.56521253,-1.701381406,86.45017425
mp-5461,"(1, 0, 0)",Rb3TaO8_mp-5461_clean_haVFrNDzIc,Rb6Ta2O16,GGA,1638,0.914009,Meta-stable,2.342774422,-1.700675724,86.47545843
mp-772821,"(1, 0, 0)",Rb3LuO3_mp-772821_clean_uOBtsyFIEx,Rb12Lu4O12,GGA,1532,0,Stable,2.668328803,-1.700472085,86.48275457
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_D2IXlsg3PW,Y12Sb20O48,GGA,2097,0,Stable,2.987823352,-1.700043805,86.49809913
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_8IASyOC3Bx,Y12Sb20O48,GGA,2097,0,Stable,2.987823352,-1.700043805,86.49809913
mp-29048,"(0, 0, 1)",Sr-BiO2-2_mp-29048_clean_8aVOgvbjuj,Sr4Bi8O16,GGA,1203,0,Stable,2.230441411,-1.697766106,86.57970108
mp-2352,"(3, 2, 2)",Na2O_mp-2352_clean_3AYboFkogi,Na8O4,GGA,1423,0,Stable,2.570285504,-1.695174255,86.67254954
mp-561672,"(1, 2, -1)",Cs4IrO4_mp-561672_clean_wMozYXljtx,Cs8Ir2O8,GGA,1401,0,Stable,2.338047119,-1.695081185,86.67588345
mp-7118,"(1, 2, 2)",Rb4SnO4_mp-7118_clean_oqpHBnxiA4,Rb8Sn2O8,GGA,1274,0,Stable,2.34922658,-1.694976963,86.67961681
mp-17193,"(1, 1, 2)",Ca3GeO_mp-17193_clean_gaLGJ3WNVH,Ca12Ge4O4,GGA,1749,8.23E-02,Meta-stable,1.755412641,-1.694128753,86.71000033
mp-13133,"(1, 3, 0)",K2TiO3_mp-13133_clean_QXqRyJVLY9,K8Ti4O12,GGA,1094,0,Stable,2.920981285,-1.691601762,86.80051352
mp-7863,"(1, 0, 0)",Rb2Sn2O3_mp-7863_clean_pOMXBObxy7,Rb6Sn6O9,GGA,1111,0,Stable,2.677512191,-1.690608922,86.83607342
mp-10417,"(2, 1, 1)",KSbO2_mp-10417_clean_djCIpdOo5y,K4Sb4O8,GGA,1208,0,Stable,2.356410201,-1.690332251,86.84598254
mp-5461,"(1, 0, 0)",Rb3TaO8_mp-5461_clean_W4Qudtq0cI,Rb6Ta2O16,GGA,1638,0.914009,Meta-stable,2.377333842,-1.68527983,87.02692151
mp-550172,SnO2_mp-550172_(211),SnO2_mp-550172_clean_7vr0vkuWhI,SnO2,GGA,2012,2.250857,Meta-stable,2.23342665,-1.684279877,87.0554
mp-997034,"(1, 2, 2)",BaCuO2_mp-997034_clean_u917L8TW1M,Ba4Cu4O8,GGA,1438,0,Stable,2.940656764,-1.684119267,87.06847972
mp-557787,"(1, 1, 1)",TlSbO3_mp-557787_clean_7pruMT6Wu6,Tl4Sb4O12,GGA,1076,0,Stable,2.907768068,-1.68209215,87.14106437
mp-1017,"(2, 0, 3)",Zr3O_mp-1017_clean_jTaaW0D1Wg,Zr6O2,GGA,2222,4.173433,Meta-stable,2.350535189,-1.68208648,87.14126741
mp-1101441,"(1, -1, 1)",Rb4TiO4_mp-1101441_clean_zUdwknInQJ,Rb8Ti2O8,GGA,1419,0.560343,Meta-stable,2.952084385,-1.678442938,87.27171965
mp-5461,"(1, 0, 0)",Rb3TaO8_mp-5461_clean_Yek1jLBxxL,Rb6Ta2O16,GGA,1638,0.914009,Meta-stable,2.313669747,-1.672580382,87.48159139
mp-7650,"(1, 0, 2)",90423983501299385769012_RbScO2_mp-7650_clean_8W3qLNrbhd,Rb2Sc2O4,GGA,1902,0,Stable,2.981058478,-1.670737398,87.54756066
mp-4359,"(3, 1, 0)",90423983570956_Sr2PdO3_mp-4359_clean_5HPbzfSuUo,Sr4Pd2O6,GGA,1799,0,Stable,2.69467438,-1.667694804,87.65646268
mp-361,"(3, 2, 2)",Cu2O_mp-361_clean_HNADQ44N0l,Cu4O2,GGA,1470,0,Stable,2.604266843,-1.662374365,87.84687431
mp-11649,"(1, 0, 0)",Ca3SiO_mp-11649_clean_3ok9gDopf0,Ca12Si4O4,GGA,1630,0.579019,Meta-stable,1.994589785,-1.658714793,87.97783169
mp-27556,"(0, 1, 0)",CsNbO3_mp-27556_clean_Kcik81MyLn,Cs8Nb8O24,GGA,1559,0,Stable,2.899145867,-1.657948932,88.00523661
mp-27556,"(0, 1, 0)",1018232_CsNbO3_mp-27556_clean_i5e1gMWfnu,Cs8Nb8O24,GGA,1559,0,Stable,2.898449488,-1.657948932,88.00523661
mp-7118,"(0, 1, -2)",Rb4SnO4_mp-7118_clean_aWATQRAVPN,Rb8Sn2O8,GGA,1274,0,Stable,2.439613572,-1.655605625,88.08908464
mp-554098,"(3, -1, 3)",Ti6O_mp-554098_clean_0wyjhVCw0Y,Ti12O2,GGA,2007,0,Stable,2.758479366,-1.65525491,88.10163353
mp-761931,"(1, 1, 0)",Na8SnO6_mp-761931_clean_Bkyvrj6Xa8,Na16Sn2O12,GGA,1298,4.79086,Meta-stable,2.86192297,-1.653308735,88.17126778
mp-761931,"(1, 1, 0)",Na8SnO6_mp-761931_clean_VgDb1XlJOt,Na16Sn2O12,GGA,1298,4.79086,Meta-stable,2.861946057,-1.653308735,88.17126778
mp-30949,"(1, 0, 2)",Sr3SiO_mp-30949_clean_RSTtc4aRWM,Sr12Si4O4,GGA,1603,0,Stable,2.763299415,-1.649561202,88.30534725
mp-4533,"(0, 1, 0)",Na2SiO3_mp-4533_clean_JR0AOsp2aK,Na8Si4O12,GGA,1358,0,Stable,2.604700022,-1.648465432,88.34454999
mp-27931,"(0, 1, 0)",Rb2SnO2_mp-27931_clean_mMZEdM5N8x,Rb8Sn4O8,GGA,1107,0,Stable,2.710553,-1.647168232,88.39095816
mp-19944,"(3, 3, 1)",Sr3PbO_mp-19944_clean_UhcDat1vej,Sr3Pb1O1,GGA,1340,0,Stable,2.406629621,-1.645325475,88.45688218
mp-13660,"(1, 0, 0)",414325470_Ca4Sb2O_mp-13660_clean_fqFuQvho4z,Ca8Sb4O2,GGA,1597,0,Stable,2.186626329,-1.644764708,88.47694303
mp-13660,"(1, 0, 0)",Ca4Sb2O_mp-13660_clean_jM2SaYQZl0,Ca8Sb4O2,GGA,1597,0,Stable,2.186626329,-1.644764708,88.47694303
mp-996990,"(2, 0, 3)",BaAgO2_mp-996990_clean_HugzQ8bQVz,Ba1Ag1O2,GGA,1233,0,Stable,2.546261748,-1.640206311,88.64000816
mp-7961,"(1, 1, 1)",904239835_Sr3SnO_mp-7961_clean_BCApFQ8vG6,Sr3Sn1O1,GGA,1349,0,Stable,2.276113333,-1.639674441,88.65903371
mp-755363,"(1, 3, 0)",Ba3SiO_mp-755363_clean_jBYChKXf5d,Ba12Si4O4,GGA,1630,0,Stable,2.387944611,-1.639288435,88.67284148
mp-2352,"(2, 1, 1)",Na2O_mp-2352_clean_dYqy3kgXg5,Na8O4,GGA,1423,0,Stable,2.270260048,-1.638012477,88.71848301
mp-30250,"(3, 2, 0)",YAgO2_mp-30250_clean_44chlLemXa,Y2Ag2O4,GGA,1410,0,Stable,2.858780485,-1.636812724,88.76139792
mp-540796,"(1, 0, 1)",Cs2Sn2O3_mp-540796_clean_ByIY3NwnVR,Cs8Sn8O12,GGA,1087,0,Stable,2.8099658,-1.635744716,88.79959976
mp-29488,"(1, 0, 0)",Na2ZnO2_mp-29488_clean_u1fGaY9YXg,Na8Zn4O8,GGA,1226,0,Stable,2.696671393,-1.635473016,88.80931815
mp-996979,"(2, 2, 1)",BaAgO2_mp-996979_clean_vkrfsIYALf,Ba4Ag4O8,GGA,1233,19.76153,Meta-stable,2.371262374,-1.63320472,88.89045137
mp-779000,"(0, 1, 0)",Rb4SbO4_mp-779000_clean_jFZZRPegYn,Rb16Sb4O16,GGA,1374,0,Stable,1.822499815,-1.632214165,88.92588118
mp-545820,"(1, 1, 2)",SnO_mp-545820_clean_oFSfUlWzrn,Sn8O8,GGA,1224,0.826659,Meta-stable,2.918285904,-1.63070057,88.98001808
mp-14437,"(3, -1, 0)",RbYO2_mp-14437_clean_MFvqoRl8ur,Rb3Y3O6,GGA,2557,0,Stable,2.869616237,-1.626986928,89.1128406
mp-7868,PtO2_mp-7868_(100),904239835_PtO2_mp-7868_clean_RBCcvHCk1X,PtO2,GGA,1738,4.623368,Meta-stable,2.019779796,-1.624840916,89.183
mp-1105,"(3, 0, 1)",BaO2_mp-1105_clean_LT9W3owcr0,Ba2O4,GGA,1377,0,Stable,2.685622212,-1.624303649,89.20880799
mp-1105,"(3, 0, 1)",BaO2_mp-1105_clean_CnqchDYndP,Ba2O4,GGA,1377,0,Stable,2.595499122,-1.623215282,89.24773276
mp-8086,"(1, 0, 0)",509358681_Na2Zn2O3_mp-8086_clean_cXdywqlyXb,Na4Zn4O6,GGA,1298,3.711269,Meta-stable,2.302424815,-1.623145376,89.25023291
mp-561942,"(2, 1, 0)",Cs3TaO8_mp-561942_clean_rtVLTX2ZMf,Cs6Ta2O16,GGA,1595,3.51932,Meta-stable,2.843557614,-1.621583993,89.30607418
mp-1198780,"(0, 1, 1)",LiSbO2_mp-1198780_clean_RwY7rHndP7,Li8Sb8O16,GGA,1352,0,Stable,2.513713654,-1.620349085,89.35023894
mp-7899,"(1, 0, 1)",BaCdO2_mp-7899_clean_gbMYsKt3Rw,Ba4Cd4O8,GGA,2007,0,Stable,2.730351271,-1.619831747,89.36874066
mp-28670,"(2, 1, -1)",Ba2Bi2O5_mp-28670_clean_eUPNOiZOYY,Ba4Bi4O10,GGA,1202,0,Stable,2.863050498,-1.61878194,89.40628512
mp-28670,"(1, 0, 0)",Ba2Bi2O5_mp-28670_clean_RRjX7Pzx3n,Ba4Bi4O10,GGA,1202,0,Stable,2.604739034,-1.618662185,89.41056792
mp-755293,"(1, 1, 3)",Sr4Sb2O_mp-755293_clean_YQNfQ5BMG4,Sr8Sb4O2,GGA,1622,0,Stable,2.06071644,-1.616548595,89.48615581
mp-754826,"(1, 1, 1)",CsScO2_mp-754826_clean_3tTs08Hvl8,Cs8Sc8O16,GGA,1457,0,Stable,2.566343596,-1.615554572,89.52170454
mp-29352,"(1, 2, 2)",Ba2PdO3_mp-29352_clean_lJxlQsH3aN,Ba4Pd2O6,GGA,1806,0,Stable,2.881007992,-1.615279402,89.53154526
mp-617,PtO2_mp-617_(2-13),PtO2_mp-617_clean_OplxFGhH9U,PtO2,GGA,1738,4.8006,Meta-stable,2.418307123,-1.614229134,89.5625
mp-765493,"(1, 0, 0)",Ba2Sb2O5_mp-765493_clean_AhMhsCocB6,Ba8Sb8O20,GGA,1685,0,Stable,2.799375595,-1.614282101,89.56721097
mp-1105,"(2, 2, 3)",BaO2_mp-1105_clean_rdDt8SkEBI,Ba2O4,GGA,1377,0,Stable,2.600147929,-1.614077107,89.57454203
mp-10417,"(2, 1, 2)",KSbO2_mp-10417_clean_pASAJcsRug,K4Sb4O8,GGA,1208,0,Stable,2.909416667,-1.614022393,89.57649868
mp-1070510,"(1, 0, 1)",Y2BiO2_mp-1070510_clean_0Rc0MjTfpF,Y4Bi2O4,GGA,2399,0,Stable,2.561191546,-1.613548569,89.59344364
mp-867730,"(2, 2, 1)",Cs2SnO3_mp-867730_clean_Nd4qMYpRF2,Cs8Sn4O12,GGA,1088,0,Stable,2.241502321,-1.613151914,89.60762882
mp-754826,"(1, 1, 1)",CsScO2_mp-754826_clean_PhyB8FGaIE,Cs8Sc8O16,GGA,1457,0,Stable,2.459431149,-1.612156003,89.64324448
mp-10417,"(2, 0, 1)",KSbO2_mp-10417_clean_Varx8VXxnd,K4Sb4O8,GGA,1208,0,Stable,2.649888599,-1.611915567,89.65184292
mp-17911,"(1, 0, -1)",Ba2ZnO3_mp-17911_clean_BwsYVIi8qi,Ba16Zn8O24,GGA,1956,0,Stable,2.938422258,-1.610827944,89.69073817
mp-29193,"(1, 2, 0)",Nb2Se4O13_mp-29193_clean_gBq4hqX869,Nb4Se8O26,GGA,1312,0,Stable,2.634376371,-1.609478669,89.73899039
mp-14175,"(1, 1, 1)",K3NbO8_mp-14175_clean_nOhVre6fDD,K6Nb2O16,GGA,1449,0,Stable,2.760756233,-1.605663316,89.87543255
mp-1198780,"(2, 2, 1)",LiSbO2_mp-1198780_clean_VTjpVEBclg,Li8Sb8O16,GGA,1352,0,Stable,2.248108906,-1.602697599,89.98149006
mp-1342,"(3, 1, 0)",BaO_mp-1342_clean_yC5ujE7IgL,Ba4O4,GGA,2297,0,Stable,1.785046818,-1.601405386,90.02770106
mp-17525,"(3, 3, 2)",Nb5Pt3O_mp-17525_clean_Hm8TUGPjby,Nb10Pt6O2,GGA,2418,21.865657,Meta-stable,2.596319275,-1.600207095,90.07055333
mp-22170,"(1, 1, 0)",Li4PbO4_mp-22170_clean_sZyuDf9YnB,Li16Pb4O16,GGA,1198,0,Stable,2.78748762,-1.599765343,90.08635091
mp-18288,"(1, 0, 1)",Ti-SnO2-2_mp-18288_clean_wjxnfZzGbA,Ti4Sn8O16,GGA,2102,1.057697,Meta-stable,2.935504776,-1.597464794,90.16862139
mp-761024,"(0, 1, 0)",Na2Cd2O3_mp-761024_clean_0aBA7QCo5Z,Na4Cd4O6,GGA,1094,0,Stable,2.654039762,-1.596138607,90.2160476
mp-6989,"(1, 1, 3)",BaSeO3_mp-6989_clean_O7dqxdlLEU,Ba2Se2O6,GGA,1439,0,Stable,2.327150314,-1.594895613,90.26049887
mp-17250,"(1, 0, 0)",K3SbO3_mp-17250_clean_fQrfFZxKY4,K12Sb4O12,GGA,1420,0,Stable,2.27190053,-1.591503076,90.38182177
mp-1101441,"(1, 2, -1)",Rb4TiO4_mp-1101441_clean_gpS09BOJ8p,Rb8Ti2O8,GGA,1419,0.560343,Meta-stable,2.971955759,-1.591132185,90.39508557
mp-30950,"(1, 0, 2)",Sr3GeO_mp-30950_clean_QkvS0Q1Nf1,Sr12Ge4O4,GGA,1588,0,Stable,2.13640697,-1.590482884,90.41830589
mp-9655,"(0, 1, 2)",Na4SnO4_mp-9655_clean_qaDwBdkSCV,Na8Sn2O8,GGA,1215,0,Stable,2.938332628,-1.590178812,90.42918016
mp-13660,"(2, 1, 0)",Ca4Sb2O_mp-13660_clean_u1RNnHhbh6,Ca8Sb4O2,GGA,1597,0,Stable,2.168253737,-1.587418728,90.52788734
mp-30988,"(1, 2, 1)",KBiO2_mp-30988_clean_gZuC4qx8Xu,K4Bi4O8,GGA,1103,0,Stable,2.059384948,-1.587253695,90.53378937
mp-27931,"(2, 1, 0)",Rb2SnO2_mp-27931_clean_WnzRttU9nk,Rb8Sn4O8,GGA,1107,0,Stable,1.991580549,-1.585026115,90.61345418
mp-753798,"(1, 1, 0)",Rb2SnO3_mp-753798_clean_ncBHzZlnzE,Rb8Sn4O12,GGA,1142,0,Stable,2.190763503,-1.584845022,90.61993061
mp-1201514,"(1, 0, 0)",K2RuO5_mp-1201514_clean_zmW5JHlnjR,K8Ru4O20,GGA,1237,7.019219,Meta-stable,2.57895467,-1.583243468,90.67720771
mp-7863,"(1, 0, 0)",Rb2Sn2O3_mp-7863_clean_ZQjFhHDg0F,Rb6Sn6O9,GGA,1111,0,Stable,2.044350452,-1.581798358,90.72889038
mp-22984,"(1, 2, -1)",NaBiO2_mp-22984_clean_11zD4c02ok,Na4Bi4O8,GGA,1116,0,Stable,2.027376575,-1.579181679,90.82247436
mp-29911,"(1, 1, 2)",Ba3Sb2O_mp-29911_clean_j7F0ebP0n6,Ba12Sb8O4,GGA,1558,0,Stable,1.747993839,-1.573479851,91.02640489
mp-28510,"(0, 1, 0)",Li3BiO3_mp-28510_clean_jywKgfX830,Li24Bi8O24,GGA,1432,0,Stable,2.035056807,-1.573182006,91.03705786
mp-30980,"(1, 1, 0)",NaYO2_mp-30980_clean_DIMSm0GuCn,Na8Y8O16,GGA,1931,0,Stable,2.803270937,-1.572872813,91.04811679
mp-758413,"(1, 0, 0)",Na2CdO2_mp-758413_clean_HTSyj5jCF7,Na32Cd16O32,GGA,1083,0,Stable,2.416344691,-1.570288503,91.14055153
